Year,Word,ManSyl
2018,Gary Oldman,4
2018,Hurricane Florence,5
2018,Mega Millions Result,6
2018,Royal Wedding,4
2018,Hurricane Michael,5
2018,Kavanaugh Confirmation,7
2018,Florida Shooting,5
2018,Roseanne Barr,3
2019,Joker,2
2019,Notre Dame,3
2019,Hurricane Dorian,5
2019,Area 51,6
2019,Antonio Brown,5
2019,Neymar,2
2019,Kevin Hart,3
2019,Billie Eilish,4
2019,Greta Thunberg,4
2019,R. Kelly,3
2019,Joaquin Phoenix,4
2019,Jordyn Woods,3
2019,Keanu Reeves,4
2019,Bryce Harper,3
2019,David Ortiz,4
2019,Alex Morgan,4
2019,Andrew Luck,3
2019,Megan Rapinoe,5
2019,Zion Williamson,5
2019,Captain Marvel,4
2019,Once Upon a Time in Hollywood,9
2019,Frozen 2,3
2019,The Lion King,4
2019,Aladdin,3
2019,Nipsey Hussle,4
2019,Jeffrey Epstein,4
2019,Old Town Road,3
2019,Señorita,4
2019,A Whole New World,4
2019,Sexy Lady,4
2019,Chernobyl,3
2019,The Mandalorian,6
2019,Euphoria,4
2019,Dead to Me,3
2019,Bad Guy,2
